SUMMARY,,,,,,,TERM,,,,DRAFT ROUND FOR KEEPER,,,
Pick,Round,Player,Position,Team,League Member,,2018 Status,2019 Status,2020 Status,,2017,2018,2019,2020
,,Lamar Jackson,QB,BAL,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
109,11,Jay Ajayi,RB,PHI,Scott Johnston,,2 of 3,3 of 3,N/A,,11,10,9,N/A
,,,,,,,,,,,,,,
N/A,N/A,Matt Ryan,QB,ATL,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
5,1,Melvin Gordon,RB,LAC,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
N/A,N/A,Derrick Henry,RB,TEN,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
25,3,Larry Fitzgerald,WR,ARI,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
,,Robert Foster,WR,BUF,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Cameron Brate,TE,TB,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Damien Williams,RB,KC,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Kalen Ballage,RB,MIA,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Cleveland Browns,D/ST,CLE,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
36,4,Kareem Hunt,RB,CLE,Greg Blome,,2 of 3,3 of 3,N/A,,5,4,3,N/A
45,5,Deshaun Watson,QB,HOU,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
,,Tyler Boyd,WR,CIN,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
N/A,N/A,Duke Johnson Jr.,RB,CLE,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
N/A,N/A,Royce Freeman,RB,DEN,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
N/A,N/A,Kenny Stills,WR,MIA,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
N/A,N/A,Nyheim Hines,RB,IND,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,9,8,N/A
96,10,Aaron Jones,RB,GB,Greg Blome,,1 of 3,2 of 3,3 of 3,,N/A,10,9,8
,,,,,,,,,,,,,,
22,3,Aaron Rodgers,QB,GB,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
59,6,Tarik Cohen,RB,CHI,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,6,5,4
,,Jaylen Samuels,RB,PIT,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
2,1,Antonio Brown,WR,OAK,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
82,9,Davante Adams,WR,GB,Josh Grainger,,3 of 3,N/A,N/A,,10,9,N/A,N/A
12,2,Rob Gronkowski,TE,FA,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
19,2,Tyreek Hill,WR,KC,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
99,10,JuJu Smith-Schuster,WR,PIT,Josh Grainger,,2 of 3,3 of 3,N/A,,FA,9,8,N/A
,,Chicago Bears,D/ST,CHI,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
39,4,Dion Lewis,RB,TEN,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,4,3,2
42,5,Mark Ingram,RB,BAL,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
122,13,Chris Godwin,WR,TB,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,13,12,11
,,Spencer Ware,RB,KC,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Jameis Winston,QB,TB,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Dak Prescott,QB,DAL,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Ian Thomas,TE,CAR,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,OJ Howard,TE,TB,Josh Grainger,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,,,,,,,,,,,,,
,,Baker Mayfield,QB,CLE,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
10,1,Todd Gurley II,RB,LAR,Zach Rakowski,,2 of 3,N/A,N/A,,2,1,N/A,N/A
91,10,Marlon Mack,RB,IND,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,10,9,8
30,3,Brandin Cooks,WR,LAR,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
110,11,Michael Thomas,WR,NO,Zach Rakowski,,3 of 3,N/A,N/A,,12,11,N/A,N/A
,,Jared Cook,TE,NO,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
11,2,Dalvin Cook,RB,MIN,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
71,8,Jamaal Williams,RB,GB,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,8,7,6
,,Atlanta Falcons,D/ST,ATL,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
31,4,Marvin Jones Jr.,WR,DET,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,4,3,2
50,5,Marquise Goodwin,WR,SF,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
70,7,Cam Newton,QB,CAR,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,7,6,5
111,12,Adrian Peterson,RB,WASH,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,12,11,10
130,13,Corey Clement,RB,PHI,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,13,12,11
150,15,Doug Martin,RB,OAK,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,Josh Reynolds,WR,LAR,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
151,16,Jerick McKinnon,RB,SF,Zach Rakowski,,1 of 3,2 of 3,3 of 3,,N/A,16,15,14
,,,,,,,,,,,,,,
126,13,Andrew Luck,QB,IND,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,13,12,11
15,2,Joe Mixon,RB,CIN,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
3,1,Saquon Barkley,RB,NYG,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
6,1,Julio Jones,WR,ATL,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
26,3,Amari Cooper,WR,DAL,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
,,David Njoku,TE,CLE,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
46,5,Chris Carson,RB,SEA,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
13,2,Mike Evans,WR,TB,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,2,1,0
,,New England Patriots,D/ST,NE,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
66,7,Chris Thompson,RB,WASH,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,7,6,5
115,12,Giovani Bernard,RB,CIN,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,12,11,10
,,D'Onta Foreman,RB,HOU,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
52,6,Alshon Jeffrey,WR,PHI,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,6,5,4
N/A,N/A,Rashaad Penny,RB,SEA,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,Justin Jackson,RB,LAC,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
N/A,N/A,Mike Williams,WR,LAC,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
88,9,Cooper Kupp,WR,LAR,Kyle Mertens,,1 of 3,2 of 3,3 of 3,,N/A,9,8,7
,,,,,,,,,,,,,,
160,16,Patrick Mahomes,QB,KC,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,16,15,14
81,9,Alvin Kamara,RB,NO,Kyle Witte,,2 of 3,3 of 3,N/A,,F/A,9,8,N/A
,,Elijah McGuire,RB,NYJ,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
20,2,Jarvis Landry,WR,CLE,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
21,3,T.Y. Hilton,WR,IND,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
61,7,Zach Ertz,TE,PHI,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,7,6,N/A
121,13,Tyler Lockett,WR,SEA,Kyle Witte,,2 of 3,3 of 3,N/A,,N/A,13,12,11
,,Mike Davis,RB,SEA,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,New Orleans Saints,D/ST,NO,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
101,11,Dede Westbrook,WR,JAX,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,11,10,9
,,Adam Humphries,WR,TEN,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Jeff Wilson Jr.,RB,SF,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Kenneth Dixon,RB,BAL,Kyle Witte,,1 of 3,2 of 3,3 of 3,,FA,N/A,9,8
,,John Kelly,RB,LAR,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
N/A,N/A,Chris Hogan,WR,NE,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,C.J. Anderson,RB,DET,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
41,5,Emmanuel Sanders,WR,DEN,Kyle Witte,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
,,,,,,,,,,,,,,
138,14,Ben Roethlisberger,QB,PIT,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,14,13,12
,,Phillip Lindsay,RB,DEN,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
75,8,David Johnson,RB,ARI,Scott Elbe,,2 of 3,3 of 3,N/A,,N/A,8,7,6
23,3,Doug Baldwin,WR,FA,Scott Elbe,,2 of 3,3 of 3,N/A,,4,3,N/A,N/A
55,6,DeAndre Hopkins,WR,HOU,Scott Elbe,,2 of 3,3 of 3,N/A,,N/A,6,5,4
,,Austin Hooper,TE,ATL,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
43,5,Corey Davis,WR,TEN,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
60,6,Peyton Barber,RB,TB,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,6,5,4
,,Buffalo Bills,D/ST,BUF,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
78,8,Evan Engram,TE,NYG,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,8,7,6
83,9,Jordan Howard,RB,PHI,Scott Elbe,,2 of 3,3 of 3,N/A,,10,9,N/A,N/A
,,Minnesota Vikings,D/ST,MIN,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,10,9,8
N/A,N/A,Robby Anderson,WR,NYJ,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,Donte Moncrief,WR,PIT,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
N/A,N/A,Danny Amendola,WR,DET,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,Christian Kirk,WR,ARI,Scott Elbe,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,,,,,,,,,,,,,
74,8,Drew Brees,QB,NO,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,8,7,6
7,1,Christian McCaffrey,RB,CAR,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
,,Nick Chubb,RB,CLE,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
14,2,Keenan Allen,WR,LAC,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
87,9,Julian Edelman,WR,NE,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,9,8,7
34,4,Travis Kelce,TE,KC,Stefan Albers,,3 of 3,N/A,N/A,,5,4,N/A,N/A
,,Matt Breida,RB,SF,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
114,12,Kenny Golladay,WR,DET,Stefan Albers,,1 of 3,2 of 3,3 of 3,,,12,11,10
,,Tennessee Titans,D/ST,TEN,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
27,3,Lamar Miller,RB,HOU,Stefan Albers,,1 of 3,2 of 3,3 of 3,,,3,2,1
94,10,Josh Gordon,WR,NE,Stefan Albers,,2 of 3,3 of 3,N/A,,N/A,9,8,N/A
134,14,James Conner,RB,PIT,Stefan Albers,,1 of 3,2 of 3,3 of 3,,,14,13,12
,,Keke Coutee,WR,HOU,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
108,11,DJ Moore,WR,CAR,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,Jacksonville Jaguars,D/ST,JAX,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
148,15,Courtland Sutton,WR,DEN,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
154,16,Derrius Guice,RB,WASH,Stefan Albers,,1 of 3,2 of 3,3 of 3,,N/A,16,15,14
